STUDY_ID,SAMPLE_ID,SGK1,SH2B3,SH2D1A,SH3GL1,SHOC2,SHQ1,SIX1,SLC1A2,SLC34A2,SLC45A3,SLFN11,SLX4,SMAD2,SMAD3,SMAD4,SMARCA1,SMARCA2,SMARCA4,SMARCB1,SMARCD1,SMARCE1,SMC1A,SMC3,SMG1,SMO,SMYD3,SNCAIP,SND1,SNX29,SOCS1,SOCS2,SOCS3,SOS1,SOX10,SOX17,SOX2,SOX9,SP140,SPEN,SPOP,SPRED1,SPRTN,SQSTM1,SRC,SRSF2,SRSF3,SS18,SS18L1,SSX1,SSX2,SSX4,STAG1,STAG2,STAT1,STAT2,STAT3,STAT4,STAT5A,STAT5B,STAT6,STIL,STK11,STK19,STK40,STRN,SUFU,SUZ12,SYK,TAF1,TAF15,TAL1,TAL2,TAP1,TAP2,TBL1XR1,TBX3,TCEA1,TCF12,TCF3,TCF7L2,TCL1A,TCL1B,TEC,TEK,TENT5C,TERC,TERT,TET1,TET2,TET3,TFE3,TFEB,TFG,TFPT,TFRC,TGFBR1,TGFBR2,TIPARP,TLE1,TLE2,TLE3,TLE4,TLL2,TLX1,TLX3,TMEM127,TMEM30A,TMPRSS2,TMSB4XP8,TNFAIP3,TNFRSF11A,TNFRSF14,TNFRSF17,TOP1,TP53,TP53BP1,TP63,TPM3,TPM4,TPR,TRA,TRAF2,TRAF3,TRAF5,TRAF7,TRB,TRD,TRG,TRIM24,TRIM27,TRIM33,TRIP11,TRIP13,TRRAP,TSC1,TSC2,TSHR,TTL,TUSC3,TYK2,TYRO3,U2AF1,U2AF2,UBR5,UPF1,USP6,USP8,VAV1,VAV2,VEGFA,VHL,VTCN1,WAS,WDCP,WDR90,WIF1,WRN,WT1,WWP1,WWTR1,XBP1,XIAP,XPA,XPC,XPO1,XRCC2,YAP1,YES1,YPEL5,YWHAE,YY1,YY1AP1,ZBTB16,ZBTB20,ZBTB7A,ZFHX3,ZFP36L1,ZFP36L2,ZMYM2,ZMYM3,ZNF217,ZNF24,ZNF331,ZNF384,ZNF521,ZNF703,ZNF750,ZNRF3,ZRSR2
brca_metabric,MB-0000,2.3216,0.6979,-0.2473,-1.5526,-0.8295,-1.4644,-0.6895,-1.597,1.6287,-0.7189,0.9362,-1.9063,-0.3774,0.6325,0.232,0.044,0.6851,-2.2465,-0.2336,-0.8143,-0.7254,-0.7771,0.3083,0.4299,-0.5413,-1.8065,0.7472,-0.7395,-0.5751,-0.1697,1.2593,5.8146,0.4275,1.7886,4.4651,-0.4299,1.2331,-0.7376,0.2633,0.1978,-0.9799,-1.0058,-1.5283,-1.0789,0.395,1.6763,-0.9726,-0.9703,-0.1431,-1.4462,2.1725,-0.5864,1.0592,0.0534,-0.7511,0.9718,0.3687,3.8816,2.5651,-0.015,-1.7966,-0.4314,-1.8991,1.3923,1.0617,-0.4705,-1.4111,-0.556,0.0946,0.1662,-0.375,-0.2776,-0.388,0.9416,-0.2397,-0.1104,0.448,0.3368,-0.5445,3.3727,-0.4005,-1.2092,0.156,2.2564,-0.6499,0.1332,2.0218,-0.0219,1.0228,1.0285,0.7815,-0.5833,-0.2416,-1.4724,-0.4638,-0.6996,2.2736,2.5041,0.8517,1.4759,-1.1181,1.8008,-0.5301,-0.8165,1.4337,-2.5799,-0.0824,1.5636,NA,1.3386,-1.9136,-0.268,1.114,-1.8856,0.3481,-0.6214,3.0226,-0.7587,0.9776,-0.7494,NA,-1.8914,-2.0393,-1.4502,-0.7581,NA,NA,NA,-0.5717,-0.7509,-0.8565,-1.0449,-1.3556,-1.2656,0.0637,-0.6922,-0.9549,-1.5174,0.6326,-1.2201,5.3282,0.9563,-1.3158,-1.5903,-0.6447,0.1281,-0.9961,-0.9858,-1.1837,-1.1606,-1.2412,0.4599,0.194,-0.6123,-1.9315,-0.3464,-1.1701,-0.6277,-0.8391,0.9581,-0.7727,0.7012,0.2143,0.7913,-1.1866,0.1337,1.1863,-0.2102,1.8313,1.0256,-0.3952,-1.5976,3.6436,1.3088,0.5307,0.2163,0.3433,2.7512,-1.2123,-1.2353,-0.9108,0.8264,1.4323,0.2993,0.257,-1.1906,0.9601,0.0602,-0.8611
brca_metabric,MB-0002,-1.7448,-2.3407,-0.1769,1.9085,-0.5233,0.3195,-1.2344,-0.2832,-0.7754,-1.5188,-1.0234,-0.738,-0.8709,-0.5113,0.8579,-0.0314,0.7377,0.6197,0.3398,-0.202,-1.1636,-0.9651,-1.8507,-0.0979,0.0182,0.8965,-0.115,0.0913,-0.9989,0.1249,-1.1337,-0.6995,0.4272,-0.6856,-1.252,-0.761,-1.3066,-1.1434,1.2815,-1.5616,-1.0921,0.4685,0.2154,-0.3317,-0.6118,-0.0023,1.0454,-0.1078,0.1142,-0.2072,-0.3357,-0.5915,-0.5762,-1.1827,-0.7947,-0.8438,-0.8829,-0.5063,-1.3268,1.2108,-0.4765,0.5157,-1.3839,0.4182,-1.1664,0.1149,-2.0745,-0.8237,3.4982,-1.9052,0.2879,-0.678,-1.8535,-1.7279,-0.0916,1.5609,0.5802,1.3172,0.3586,0.4232,0.5998,-0.0996,-1.6687,-1.4886,0.8806,0.2816,1.0587,-0.2898,1.2459,-0.4322,1.2033,-1.7377,1.4088,1.1405,-0.4191,-1.6374,-0.6941,0.1561,0.5846,0.8946,0.52,-1.4398,-0.0256,0.1017,-0.4374,-0.2065,-0.3734,-0.9511,NA,-1.5354,-0.4823,0.3153,-0.9855,0.2704,-0.0176,-1.5931,-0.6646,0.6934,1.7942,-1.9302,NA,-0.6324,-0.7416,-0.1917,0.1554,NA,NA,NA,-0.08,0.0643,0.5571,0.2484,-0.8424,-0.3371,0.8017,-0.6829,-0.2931,1.1378,0.9539,-0.2557,-0.3377,-0.8018,0.625,0.5215,-0.5346,-0.1069,0.3713,-1.575,1.0262,-0.493,1.8687,-1.1667,-1.3674,0.0449,0.2785,0.2566,0.9453,-0.2834,0.1352,0.8423,1.2825,-0.0834,1.1258,-0.0004,0.4054,0.3562,0.0947,0.7611,0.6417,-0.6048,2.2453,0.0713,1.5892,0.0409,-1.0158,1.4715,1.4831,0.4228,-1.2728,0.4498,1.9404,-1.0392,1.3811,-0.7523,3.2136,2.3105,-1.2409,0.5651,0.0359
brca_metabric,MB-0005,1.256,-0.0889,-0.3307,0.3912,1.9426,1.8144,-0.0975,-0.0035,1.425,-0.9138,0.143,-2.0064,0.0945,-1.794,1.4377,0.2948,0.555,-0.8253,-0.5646,-2.6627,-0.7026,-1.2866,0.6887,-2.0069,0.89,1.9033,-0.034,0.2981,-1.98,1.8885,-0.1011,0.6848,-0.8852,-0.6415,-0.8788,3.8103,1.2496,-0.9627,-2.5263,-1.5789,0.8742,2.4105,-1.8777,-0.7217,0.0457,2.8452,1.863,-0.9792,-0.3849,0.2808,-2.5657,0.1905,1.6718,-0.8231,-1.3452,-0.2265,-0.8858,0.0318,-1.0856,-1.3526,-0.1065,0.2382,0.3261,-1.6627,-1.7603,0.0802,0.5372,-1.4885,-1.8413,-2.2217,-1.8762,0.2614,-0.7908,-1.2003,-0.413,-1.0801,0.9572,1.6,-0.1263,0.8755,-0.2363,-0.6512,-0.6039,0.1064,-1.5533,-1.0174,1.095,-0.4369,0.7153,-1.2462,0.8685,-0.1115,0.6588,0.9713,1.391,0.8556,0.2634,1.6635,-0.7468,-1.3519,-0.9463,-0.4067,-0.1578,-0.198,-0.0822,-2.9115,0.0745,0.4208,NA,0.1484,-0.0373,-1.9354,-0.5636,1.9227,0.5126,0.774,-0.3673,-0.0813,2.0927,-0.3016,NA,-2,-0.4898,0.6608,-0.328,NA,NA,NA,3.1757,-1.6802,0.3224,1.1332,-1.1695,-0.0886,-0.957,-1.3347,0.8481,-1.7175,-0.3481,-1.4764,-0.5964,-0.0199,0.9997,0.5039,-2.17,3.1746,3.1574,0.2821,-0.3199,-1.0287,0.5397,0.4481,-1.3428,-1.7544,-1.1791,0.2132,0.9447,-0.5305,-0.0193,0.5968,0.0022,2.1409,0.1701,-2.4917,1.3961,-0.7198,3.0769,2.0509,1.5305,2.9649,3.5526,-1.5326,-0.2251,-1.4733,-0.2573,-1.8387,2.7944,-0.2681,1.4819,-1.4384,1.904,0.8654,1.9693,-1.8649,2.5206,1.7521,-1.4089,-0.9516,-1.9698
brca_metabric,MB-0006,-0.4316,0.1991,0.8268,0.3607,2.2233,-0.7006,-0.0025,-0.0887,-0.0356,-1.809,0.3825,-1.84,1.1272,-0.2174,0.8581,-0.0796,0.7971,-1.8945,0.0968,-1.8338,1.018,-1.5492,0.8737,-0.6257,-0.0641,0.1372,-0.1456,-1.3584,-1.8401,0.8886,1.5125,-0.341,-1.1854,-0.6297,-0.6984,-0.9716,-0.7788,-1.0611,-2.8674,-0.1409,1.063,0.0569,-1.2681,-0.3827,-0.0296,2.3945,2.4972,3.0696,0.2855,-1.3198,0.7157,3.0866,1.3455,0.344,-0.5463,-1.2402,-0.0176,-0.8591,-0.0247,-2.4131,0.2111,1.0145,-1.7752,-1.2154,-0.9163,0.2575,1.6634,-1.5211,-1.9664,-0.656,0.7561,-0.1916,-0.6045,-0.0085,-0.4448,-1.593,0.9957,0.975,0.1376,0.1397,-0.1882,-0.2882,1.4119,0.4166,-0.5972,-0.0311,0.3436,-0.7821,0.2049,0.6783,-0.5218,-0.401,1.0475,-0.1602,-0.8545,0.3245,1.0642,1.0482,-0.7151,-0.6218,-0.1724,0.5971,-0.6005,-0.1147,2.9473,-1.8074,1.7695,0.4176,NA,-0.6895,1.4924,-1.834,-0.0702,2.5169,1.6748,-1.0031,-1.1056,-1.4271,0.9535,-2.0333,NA,-0.4905,-1.0526,-0.2621,-1.304,NA,NA,NA,2.3193,-0.8154,0.9856,-0.1508,-0.1222,-0.1011,-0.6045,-0.9896,0.8977,-1.9366,-0.1742,-2.5347,-1.3156,-0.1893,1.3715,1.6148,-1.6755,5.737,4.0716,-0.055,-0.125,-1.1871,1.7506,-0.6928,-1.2929,0.1043,-2.0278,-0.1622,-0.2362,0.0463,1.7546,0.1273,0.573,0.1287,1.9745,-1.1179,1.5499,-0.1472,2.7112,2.0201,1.7097,4.5924,4.4591,-1.8839,-0.9441,-0.9625,0.8176,-1.0888,2.0545,-0.5866,2.1678,-1.3139,5.0115,0.9851,0.6683,-1.9425,3.2689,2.5035,0.0868,-1.6895,-1.0688
brca_metabric,MB-0008,0.1095,-1.0458,-0.2821,-0.2495,0.0565,1.0293,-0.7043,0.2658,-0.6402,-0.5606,-0.4715,0.0086,-0.8241,-0.792,0.148,1.9032,-0.511,-0.7836,-1.6122,-1.225,-0.8553,-0.9289,0.2824,-0.3281,0.08,-0.0089,-0.3326,-0.5011,-0.3981,-1.3032,0.3661,0.7547,0.405,-0.4715,1.0317,-0.4114,0.1883,-0.5777,-0.6543,-0.1484,-1.3922,0.8719,-0.254,0.9755,-0.1174,0.4276,-0.6558,0.5009,1.9891,2.9663,2.809,0.1069,0.4908,0.28,0.3372,-0.5065,-0.7306,-0.3386,-0.4319,0.413,0.2055,-0.2973,1.144,-1.2765,-1.2952,-2.1697,-0.8487,-0.4936,0.0834,-1.2324,0.5058,-0.3882,0.6281,-0.6767,-0.3353,-0.8359,2.5467,-0.3933,-1.5316,-1.2598,-0.3557,-0.2444,-0.5091,-0.1835,-0.2133,-0.038,-0.953,0.4731,-1.3749,0.8056,-0.5406,-0.0178,0.2174,1.2308,1.67,-0.2218,-0.2804,1.7402,0.3434,-0.7965,-0.8028,-0.2599,-0.9544,0.5748,-0.6968,-0.4908,0.906,0.6589,NA,-0.5484,1.341,0.0678,0.2571,-0.083,0.3461,0.1169,-1.2523,0.9897,-0.0258,-1.4792,NA,-0.8012,-0.7269,-0.1723,0.072,NA,NA,NA,-1.3306,0.0642,0.5501,0.3817,-0.1604,-0.5418,-0.7353,0.4286,-0.7195,-0.494,-1.4079,-1.3608,0.7528,-0.3477,0.79,3.1054,-1.4302,-0.6138,0.0142,-0.5501,0.3468,0.6766,0.2465,-0.1647,-0.6016,-1.5782,0.6529,-0.2747,-1.7019,-0.3614,3.0377,-0.37,1.2951,0.3676,0.419,-2.5661,-0.814,-0.8606,-0.6197,-0.0922,-0.4748,-1.0537,0.4622,-0.7164,-1.0536,-1.9929,-1.2248,0.3665,-0.0943,-0.6864,-0.7418,-1.0842,1.0616,-0.753,0.2302,-1.8535,-0.5395,0.995,-0.576,0.7988,-0.4626
brca_metabric,MB-0010,0.4305,-0.3684,-0.975,0.0565,0.7138,1.6895,1.4115,-0.0522,-0.4666,-1.5891,0.3494,0.2328,-0.0763,-0.2688,-0.168,1.1978,0.4272,-0.6972,-0.8048,-0.4463,-0.2289,-0.5098,1.4451,0.1916,-0.7845,1.2787,-0.7382,-0.3985,-0.5199,-0.3834,-0.667,-1.0919,-0.6262,-0.4604,-1.1236,0.3712,0.6871,-0.7842,-1.0953,0.0577,-0.0889,1.1061,0.4476,-0.5574,-0.0427,1.3393,-0.0196,0.2066,-0.7276,1.2584,-0.0322,1.0867,0.6259,-0.7868,-0.0764,-1.2583,-0.9782,-0.3583,-1.4185,0.0571,0.4017,-0.3548,-0.176,-1.1437,-1.0836,-0.5922,-0.9109,-0.898,0.0477,-0.8762,-0.2626,-1.4655,-0.5804,-1.4358,0.3394,-0.6339,1.2247,1.358,-0.4932,0.1561,-0.4768,-0.33,-1.6033,-0.2741,-0.47,-0.6641,-0.2822,-0.1488,0.5518,1.1381,-0.6762,0.0972,0.4219,0.0891,0.6205,0.9288,0.6187,2.1247,0.9199,-0.0106,-1.2566,-0.3967,1.3773,-0.4416,-0.6267,0.0808,0.9532,-0.443,NA,-0.7343,-0.6835,-1.1302,-1.1581,1.6904,-1.9502,-1.0283,-1.203,0.8277,1.7832,-0.0828,NA,0.1489,-0.3278,1.3897,1.9372,NA,NA,NA,0.9036,0.3163,-0.0582,0.8637,0.3241,-1.4585,-1.0362,1.7334,-0.6457,-1.5546,-0.8698,-1.446,0.1664,1.4105,0.7379,0.3851,-1.1649,-1.4812,0.2425,-0.1378,-0.3158,0.1559,-0.7106,-1.2522,-0.8526,0.5689,2.0492,0.0414,-0.7058,0.2295,0.3999,0.1259,0.3462,-0.6127,0.3492,-1.6305,0.0749,-0.4442,0.6534,-0.1358,0.1857,-0.543,0.6195,-0.2529,-1.1096,-0.0934,-0.9254,-0.2149,0.3152,-0.1311,-0.8374,-0.9397,0.5396,-0.3136,-0.8816,-0.9365,0.2053,-0.7126,-0.501,-0.516,-0.9895
brca_metabric,MB-0014,0.3619,0.0079,0.8443,-1.4802,4.3918,2.3191,-0.2113,1.1597,-0.0841,-0.7834,0.1029,-2.8195,0.7746,-0.4403,1.1961,1.6276,1.6058,-2.5481,-0.7746,-3.9385,1.3161,-1.2551,1.4709,0.9897,-0.4195,0.648,0.5387,-2.3556,-1.7649,-0.1915,1.126,-0.4534,-0.2438,-0.5314,-0.4415,2.222,-0.6344,-0.6089,-2.6317,-0.3717,0.9387,1.3294,-2.4508,-1.9648,-1.3356,3.592,2.5336,-0.8574,0.0676,-0.1295,1.0405,2.4066,2.7159,-1.1819,-1.9158,-2.5661,0.0861,-0.2716,-0.2898,-1.7833,-0.4626,-0.3804,-1.6891,-2.5728,-1.526,0.5577,1.5882,-1.7395,-1.2007,-1.9202,0.6515,0.9176,-1.4447,-1.2109,1.0014,-0.6056,1.2663,1.6847,-2.2859,-0.5269,0.1545,-0.3587,0.4285,-0.0589,0.0993,0.561,2.0356,-1.0021,1.4766,-0.7285,1.5314,-0.459,0.4956,-1.3636,-0.5248,0.632,0.7917,1.2272,-0.9366,-0.9042,-1.4726,0.3055,0.1193,-0.9736,1.4956,-2.1918,2.4379,-0.5976,NA,-0.586,1.1453,-2.3366,0.4039,0.234,-0.5173,-0.5087,-0.4258,-1.2055,-0.1816,-0.9643,NA,-1.2978,-0.7625,-0.2794,-1.8594,NA,NA,NA,0.519,-1.0738,0.7314,1.3703,-1.234,-1.8262,0.5976,-2.2039,0.0127,-1.222,0.128,-3.2297,-0.489,-0.3678,-1.1136,1.1951,-4.2054,6.9427,5.1695,-0.3115,-0.2649,-1.3735,1.3372,0.5692,-1.6969,-1.5759,-2.1392,-0.0834,1.2784,0.005,1.5442,-0.1175,0.7482,1.1876,3.5135,-2.4366,1.3089,0.6669,2.2561,2.5342,2.6894,3.5246,3.7592,-0.8955,-0.2915,-1.0278,-0.1968,-2.3045,2.0346,-1.2304,2.6329,-1.0817,0.8075,3.0299,2.0687,-1.7578,3.8947,1.0741,-0.5463,0.0366,-1.738
brca_metabric,MB-0020,0.6677,-1.0095,-0.7301,0.4904,-0.077,-0.3836,-0.1365,0.5135,2.0084,-1.0686,0.3808,-0.1018,-0.7571,-0.768,-0.0263,0.4494,0.0898,0.7178,-0.676,-1.3632,-0.9164,1.0587,-0.6532,-1.0433,0.4142,-1.1825,0.7789,0.9767,-0.1778,0.5657,0.7356,0.3158,-0.2366,0.3103,1.7068,-0.5086,0.7923,-1.0259,0.1609,-0.631,-0.4723,-0.7692,-0.8789,0.1088,-0.3882,-0.388,-0.0511,0.1934,-0.1988,0.5826,0.3274,-0.2257,-0.5035,-1.3869,-0.8798,-0.0214,-0.2478,0.2365,-0.2844,-0.9461,0.0374,1.9683,-1.1832,0.8834,-0.8829,-0.1135,-2.0327,0.5635,1.184,-0.968,1.945,-0.5222,-1.3601,-1.0571,-1.0696,-0.8172,-0.0183,0.6256,0.6501,0.3485,-0.6112,-0.1948,1.2571,0.7683,0.2821,-0.4436,0.6732,0.1082,-0.65,-0.8893,-0.1774,-0.6405,0.095,3.4249,-1.1589,0.7907,1.1042,-0.2975,1.3963,-0.3063,-1.3842,0.8896,-1.6073,-0.0781,2.7773,0.2985,-0.254,2.9675,NA,-0.3987,-0.3116,-0.7318,1.0552,-0.4092,-0.4536,-0.6123,0.2189,0.4727,0.684,-0.6617,NA,-0.5531,-1.4697,-1.6733,-0.1914,NA,NA,NA,1.0755,0.7031,0.7159,-1.6211,-0.5407,0.2911,0.2709,-0.5173,0.08,0.7776,-0.3552,-0.9965,1.0423,0.235,-0.2881,-0.199,-0.9665,-1.0745,-0.4697,0.9549,-0.1625,-0.401,-0.6302,0.7414,-0.6899,0.5046,-0.6305,0.2411,0.5522,-0.079,-1.0431,0.4256,0.1237,-0.3887,-0.7645,-0.4416,-0.5523,-0.166,0.3626,0.3426,0.5866,-0.8592,-1.0215,-1.8059,1.8951,1.1732,0.9298,-0.5237,0.2053,0.7497,-1.0269,-0.2818,0.5854,0.1036,0.913,-1.769,1.2169,-0.8282,2.2008,-0.8545,0.8075
brca_metabric,MB-0022,0.516,1.049,3.8827,-0.9781,2.2965,1.6889,-0.3931,-0.1767,-0.3747,-1.3748,1.0572,-2.369,0.1513,-0.5874,0.681,0.6549,1.9387,-3.1659,-0.5752,-3.6556,0.7832,-1.17,1.3369,0.1837,-0.5555,0.3807,0.582,-2.6192,-0.2339,-0.0797,0.6207,-0.8473,-1.7645,-0.5361,-0.5568,-0.2226,-0.7178,0.0844,-2.9838,-0.2938,1.9885,2.1043,-3.0311,-1.132,-0.302,3.7641,1.9524,-0.9092,0.0623,-0.5436,2.387,2.7323,2.2194,0.942,-0.6661,-2.5084,1.9073,0.6175,-0.0295,-0.2545,0.001,0.1123,-1.3922,-1.4992,-1.2888,0.7989,1.4537,0.1423,-0.8401,-0.824,0.3614,-0.1741,-0.2954,0.1618,-0.2325,-0.9951,1.5918,1.3648,-1.4922,0.2094,0.3394,-0.3788,0.0414,0.8395,0.9825,1.1019,-0.8165,-0.8959,-0.9538,-0.1573,0.4311,-1.7294,0.4544,-1.0608,0.2327,0.5719,1.4722,0.1925,-1.2829,-1.3105,-2.7127,1.6019,0.605,-1.0403,0.7784,-3.0289,2.8348,-0.4649,NA,0.8336,-0.6947,-0.5112,1.7737,0.5675,-0.0853,-1.3266,-0.0686,-1.7986,-0.1556,-0.1833,NA,-1.4487,-1.2277,0.9618,-1.6456,NA,NA,NA,0.0883,-0.4921,0.0632,-1.5169,-0.6553,-1.9578,0.8558,-2.4019,-0.7262,-1.6054,-0.4954,-2.0768,-0.0312,-0.0815,-0.0192,2.4955,-4.0855,4.699,4.6927,-0.2331,-0.8277,-1.8032,2.1158,-1.1534,-0.042,0.2527,-1.6236,-0.3152,-0.6391,-0.4884,1.2415,0.5352,0.5368,0.5361,3.4435,-1.3551,1.7066,2.1867,1.7777,1.4463,2.3671,2.9539,3.8942,-1.3336,0.472,-1.1781,0.6497,-2.9438,2.7166,-0.6841,0.7842,-1.8556,-0.0958,-0.3891,1.0808,-1.7093,3.8836,1.2038,-0.9458,-2.0618,-1.0454
brca_metabric,MB-0028,-0.9741,-0.7,-0.9134,-1.3948,2.6267,2.054,0.8881,0.8008,-1.0753,-1.1654,-1.2164,0.166,1.4531,1.45,0.2495,1.6491,-0.0493,-0.6452,-0.8874,-0.9633,0.4151,-0.4051,1.1876,1.292,0.6641,0.1874,-0.3314,-0.9737,-0.2091,-1.1885,0.2938,-1.3278,1.3991,-0.4655,-1.1813,-0.3277,-1.3644,-1.0526,0.467,-0.3051,-0.7384,1.1738,1.3955,0.9986,0.4626,0.4959,1.0804,0.2707,0.0733,-0.1733,-1.3289,0.7613,1.6481,-1.3358,-1.4548,0.1954,-0.5655,-0.8475,0.1503,-0.4796,0.7987,-0.9776,-0.1036,-0.2117,0.0585,-0.596,0.7703,-0.0687,-0.7252,1.0347,-0.8914,-1.4267,-2.0492,-1.4127,1.2906,0.8303,1.9708,1.3156,-0.7616,0.0481,-0.0626,-0.3215,-1.0432,-1.2311,-2.1655,0.4475,-0.9601,-0.5351,0.6075,0.4416,-1.9939,-1.1418,0.2569,1.7257,0.1192,-0.6952,-1.285,-0.3635,-0.6129,0.1633,1.9815,-1.5106,-0.7385,-0.4053,1.9646,0.062,-0.8447,-0.1297,NA,-1.1837,-1.049,-1.0961,-0.9004,-0.2491,0.0521,1.1457,0.1568,-0.355,0.1636,1.8834,NA,-0.0535,1.0477,-0.5144,1.0068,NA,NA,NA,-1.021,-0.4422,0.376,-1.8352,1.0034,-0.743,-0.6055,-0.2244,-0.7133,-1.6911,0.5432,-1.6345,0.6372,-1.4826,1.8841,2.8367,-0.9143,0.027,0.9364,-0.1198,-1.2305,-0.5262,1.4944,-0.7185,-0.9084,-0.5379,0.0928,-0.8017,-0.5851,-0.0802,2.5665,0.293,0.8483,-0.293,-0.3781,-0.0525,-0.1262,-0.1941,-0.144,0.4529,0.0378,0.1994,0.9479,-0.4652,0.1696,-1.2279,-0.1323,-1.4021,-0.8548,-0.9286,0.5968,-1.0547,0.7662,0.9234,0.6498,0.6396,-0.8393,1.0067,-0.205,1.0167,-1.518
